store_id,company_name,store_name,store_hours,inactive_dsps,ubereats_status,ubereats_since,doordash_status,doordash_since,grubhub_status,grubhub_since
deda5ca3-a86f-4164-848b-f68f8844341c,Atlantis Management Group,Atlantis Fresh Market #74,12:00 AM - 11:59 PM EST,UberEats,Inactive,03/31/2025 06:00,Active,04/19/2025 19:08,Active,03/13/2025 09:26
475c8702-282b-4265-8ffa-f6504ed00a63,Atlantis Management Group,Atlantis Fresh Market #88,04:00 AM - 11:00 PM EST,"UberEats, GrubHub",Inactive,11/22/2024 08:39,Active,04/23/2025 10:52,Inactive,05/01/2025 14:38
1003584c-3549-455e-8e88-aa45fd1b11e0,Atlantis Management Group,Atlantis Fresh Market #91,12:00 AM - 11:59 PM EST,GrubHub,Active,04/11/2025 10:15,Active,04/23/2025 12:43,Inactive,08/15/2024 14:04
0a672e14-f93a-43f8-9161-19a6b90f3fa9,Paresh Chain,Chatham Liquor Store,08:00 AM - 11:00 PM EST,UberEats,Inactive,08/30/2024 07:54,Active,09/26/2024 10:32,Active,09/26/2024 10:32
7e72af8b-9845-4ff3-9faa-b21100376f0a,Chicken King,Chicken King (Aramex Restaurant),11:30 AM - 09:30 PM EST,UberEats,Inactive,05/02/2025 00:32,Active,03/25/2025 14:14,Active,03/25/2025 14:14
fdca55a2-567e-46af-992d-f9ad620c92ae,Chicken King,Chicken King (EL Camino),08:00 AM - 09:00 PM PST,"UberEats, DoorDash, GrubHub",Inactive,05/01/2025 23:29,Inactive,05/01/2025 23:29,Inactive,05/01/2025 23:29
cc686574-c547-4ad6-895d-bff90d2bc1ea,DMG,Chisholm Corner 7,06:00 AM - 11:59 PM CST,"UberEats, DoorDash, GrubHub",Inactive,04/15/2025 07:06,Inactive,04/15/2025 07:06,Inactive,04/15/2025 07:06
2898621f-5422-420e-9aa9-0938fed22c0b,Circle K Gas Express,Circle K (109 N Chester St),12:00 AM - 11:59 PM CST,"UberEats, DoorDash, GrubHub",Inactive,02/27/2025 21:37,Inactive,02/27/2025 21:37,Inactive,02/27/2025 21:37
8850a98e-3695-479c-b781-a011dc6e7ce0,Circle K Gas Express,Circle K (1685 Pearman Dairy Rd),12:00 AM - 11:59 PM EST,UberEats,Inactive,03/07/2025 03:36,Active,04/21/2025 12:40,Active,04/21/2025 12:40
43ab61c4-1f46-4ab7-a70e-e99e85ffa6f5,Circle K Gas Express,Circle K (3320 John F Kennedy Blvd),12:00 AM - 11:59 PM CST,UberEats,Inactive,04/29/2025 07:00,Active,02/25/2025 13:38,Active,02/25/2025 08:06
fd62ad56-1690-48f8-a0c3-7f5f2f8e404d,Circle K Gas Express,Circle K (5051 Warden Rd),12:00 AM - 11:59 PM CST,UberEats,Inactive,05/01/2025 07:00,Active,02/25/2025 12:40,Active,02/25/2025 08:56
ab2ba426-17c4-4c09-9a97-a8ab8177c3b0,Circle K Gas Express,Circle K (700 E Broadway St),12:00 AM - 11:59 PM CST,UberEats,Inactive,05/01/2025 07:00,Active,02/25/2025 12:43,Active,02/25/2025 08:21
23c13a06-13d7-408e-a065-a7142266114c,Circle K Franchise (Oscar),Circle K Franchise (Oscar) - Bear Valley & 3rd,12:00 AM - 11:59 PM PST,UberEats,Inactive,03/24/2025 06:03,Active,04/02/2025 15:02,Active,04/02/2025 15:02
48aaaf1e-8a58-4973-bebb-8dcdbbef0c1e,Clipper Petroleum,Clipper Petroleum #43,12:00 AM - 11:59 PM EST,DoorDash,Active,04/21/2025 00:03,Inactive,04/15/2025 22:42,Active,11/18/2024 10:25
1ceef59c-4445-4f00-b568-b5aa97d7b5ec,Lula Commerce 1,Convenience Store - Roxborough,09:00 AM - 11:00 PM EST,UberEats,Inactive,11/18/2024 09:23,Not Connected,,Not Connected,
6922af04-261a-4335-b41b-75eb47430254,Lula Commerce 1,Convenience Store - Voorhees,09:00 AM - 05:00 PM EST,"UberEats, DoorDash",Inactive,09/10/2024 11:11,Inactive,09/10/2024 11:11,Not Connected,
120b2229-ed76-47c6-9512-7f09fd88a318,Dayville Quick Mart LLC,Dayville Quick Mart,12:00 AM - 11:59 PM EST,"UberEats, DoorDash, GrubHub",Inactive,04/28/2025 00:31,Inactive,01/03/2025 20:04,Inactive,08/06/2024 11:01
48c363c6-9d79-4f13-a714-c4f1e086e76b,Energy Mart,Energy Mart 8 - Upward Rd,12:00 AM - 11:59 PM EST,DoorDash,Active,02/14/2025 06:00,Inactive,05/02/2025 00:03,Active,10/14/2024 10:48
